Lyle	Barnett	100	100	100	85	100	93	90	100	97	100
Burl	Barron	100	100	80	55	95	90	80	93	100	100
Isidra	Blanchard	100	100	90	100	100	100	100	100	98	100
Elise	Bradford	100	100	90	70	100	100	100	100	95	100
Candance	Carpenter	100	100	95	100	100	93	100	100	98	100
Asia	Christian	100	100	90	90	100	100	65	100	99	100
Anamaria	Costa	100	100	100	70	100	93	100	100	96	100
Gracie	Cuevas	100	100	40	100	100	100	65	100	78	100
Ara	Ferguson	100	100	95	70	75	100	0	100	87	100
Lucille	Franklin	100	100	100	60	100	93	100	100	96	100
Nelida	Frost	100	100	90	100	100	93	100	100	96	100
Glenda	Gutierrez	100	100	95	70	75	100	0	100	87	100
Elizbeth	Hanson	90	100	95	90	80	93	100	100	87	100
Clifton	Jimenez	100	100	75	90	100	70	55	100	91	100
Galen	Mcconnell	100	100	95	70	100	100	100	100	97	100
Eldora	Mcfarland	100	100	85	85	100	70	100	100	94	100
Cherilyn	Mclean	90	100	75	65	100	100	90	100	82	100
Romona	Murphy	100	100	100	70	100	93	100	100	97	100
Merrie	Orr	100	100	90	70	100	100	100	100	95	100
Tari	Pratt	100	100	40	60	100	93	100	100	92	100
Jung	Pruitt	95	100	80	65	100	100	100	100	95	100
Orville	Ramirez	100	100	80	100	85	100	95	100	95	100
Margy	Randall	100	100	90	90	100	100	100	100	99	100
Ethelyn	Raymond	90	100	90	55	100	100	100	100	93	100
Rosy	Rich	100	100	85	100	100	100	100	100	97	100
Alejandro	Riley	100	100	85	100	100	100	80	93	100	100
Tameika	Savage	100	100	80	90	100	100	100	100	94	100
Hannelore	Shepherd	100	100	75	50	100	100	90	100	92	100
Felicidad	Stout	100	100	90	100	100	93	100	100	96	100
Mohammad	Travis	100	100	90	70	100	100	100	100	95	100
Lore	Valdez	90	100	95	90	80	93	100	100	87	100
Tammy	Vance	100	100	75	90	100	70	55	100	91	100
