Henrietta	Andersen	100	100	90	70	100	100	100	100	95	100
Luis	Barber	100	100	95	100	100	93	100	100	98	100
Golden	Bell	100	100	90	90	100	100	100	100	99	100
Quyen	Blankenship	100	100	100	70	100	93	100	100	96	100
Bret	Burch	100	100	40	100	100	100	0	0	78	100
Marilou	Cameron	100	100	95	70	75	100	0	100	87	100
Cleora	Carrillo	100	100	100	60	100	93	100	100	96	100
Tim	Chance	100	100	90	100	100	93	100	100	96	100
Cecilia	Conrad	100	100	95	70	75	100	0	100	87	100
Aida	Durham	90	100	95	90	80	93	100	100	87	100
Mitchel	Ellison	100	100	75	90	100	70	55	100	91	100
Avis	Floyd	100	100	95	70	100	100	100	100	97	100
Ehtel	Greene	100	100	85	85	100	70	100	100	94	100
Maxima	Haley	90	100	75	65	100	100	90	100	82	100
Jesenia	Hensley	100	100	100	70	100	93	100	100	97	100
Katelynn	Hill	100	100	90	70	100	100	100	100	95	100
Tawanda	Ho	100	100	40	60	100	93	100	100	92	100
Tess	Ingram	95	100	80	65	100	100	100	100	95	100
Nickie	Love	100	100	80	100	85	100	95	100	95	100
Leanne	Mason	100	100	90	90	100	100	100	100	99	100
Tandy	Mcneil	90	100	90	55	100	100	100	100	93	100
Letisha	Powell	100	100	85	100	100	100	100	100	97	100
Leeanna	Reeves	100	100	80	90	100	100	100	100	94	100
Lavette	Simpson	100	100	75	50	100	100	90	100	92	100
Virgilio	Sosa	100	100	90	100	100	93	100	100	96	100
Matt	Terrell	100	100	90	70	100	100	100	100	95	100
Joycelyn	Ward	90	100	95	90	80	93	100	100	87	100
Edmund	Winters	100	100	75	90	100	70	55	100	91	100
