Isidra	Blanchard	8	3	9	0	10	9	9	10	10	10	79	78	99	94	89	100	92	78	138
Asia	Christian	7	10	7	10	10	9	10	8	10	10	88	90	74	94	89	100	92	72	140
Tia	Clarke	0	0	10	0	10	10	6	8	10	10	90	71	87	100	99	94	73	86	140
Gracie	Cuevas	8	7	10	10	10	10	5	8	10	10	88	60	71	79	90	87	97	69	127
Garry	Cunningham	8	9	9	10	10	9	8	7	7	10	95	73	64	82	79	75	77	81	131
Titus	Fry	7	2	10	9	10	10	10	0	0	10	99	80	64	79	90	98	91	41	131
Caterina	Griffith	8	9	9	9	10	10	10	10	10	10	91	70	77	91	94	100	95	89	130
Glenda	Gutierrez	7	10	9	9	0	9	0	9	7	10	85	88	95	83	78	94	84	81	134
Elizbeth	Hanson	7	7	10	9	10	8	8	9	10	10	59	81	76	83	78	94	84	69	130
Phoebe	Harrington	3	0	10	9	10	0	8	6	8	10	66	100	67	83	78	94	84	68	108
Jesenia	Hensley	8	7	10	10	10	9	10	8	10	10	99	94	64	99	84	96	100	64	130
Darby	Huffman	8	7	10	10	10	9	10	8	0	10	69	79	98	100	98	91	74	86	126
Hipolito	Huynh	8	7	10	10	10	9	10	8	6	10	65	91	70	100	98	91	74	89	125
Minerva	Jenkins	8	9	10	10	10	10	9	9	7	10	65	93	59	93	95	50	55	80	125
Irmgard	Kent	6	0	8	8	10	10	0	9	8	10	92	70	71	93	80	85	91	56	102
Delsie	Kramer	10	10	0	9	8	0	0	0	9	10	72	83	66	81	83	68	86	77	136
Siu	Lawrence	6	0	9	9	10	0	10	9	5	10	76	91	99	92	86	96	92	95	140
Eldora	Mcfarland	9	10	9	9	8	10	8	8	9	10	98	68	65	93	85	82	94	73	96
Cherilyn	Mclean	7	2	10	9	10	10	10	7	8	10	100	98	58	69	94	61	63	71	118
Alycia	Molina	0	10	10	10	0	10	9	0	10	10	99	67	65	76	80	89	97	79	128
Fidelia	Perez	6	0	0	10	0	0	9	0	8	10	93	62	79	73	70	78	91	79	125
Letisha	Powell	8	9	10	10	10	10	7	9	6	10	69	83	68	26	70	78	91	51	125
Tari	Pratt	8	9	10	10	10	10	7	9	6	10	82	91	58	82	68	82	93	67	100
Jung	Pruitt	10	10	10	9	10	10	10	10	10	10	90	80	99	95	100	100	99	99	146
Margy	Randall	10	10	10	9	10	10	10	10	9	10	96	80	86	92	89	96	95	91	142
Leeanna	Reeves	7	3	8	9	0	9	0	4	7	10	85	77	76	82	91	89	92	64	100
Markita	Rose	7	0	4	9	10	7	9	8	0	10	66	57	93	82	81	0	86	74	120
Stacia	Schneider	6	8	4	9	10	7	9	10	6	10	77	66	68	49	63	71	60	78	136
Van	Sheppard	9	10	4	9	10	7	9	10	6	10	84	78	75	49	63	71	60	79	134
Virgilio	Sosa	7	10	9	10	10	9	10	7	10	10	77	63	64	84	81	92	96	68	134
Karly	Swanson	8	0	9	9	8	8	6	4	7	10	92	93	92	73	71	65	87	62	109
Lore	Valdez	8	10	9	10	10	10	9	10	10	10	60	79	97	95	90	95	100	90	140
Tammy	Vance	9	9	9	10	10	10	9	10	10	10	70	98	65	99	90	97	95	70	140
Corliss	Velazquez	7	8	9	10	10	10	9	10	10	10	91	69	79	99	90	97	95	84	142
Edmund	Winters	8	9	10	10	10	10	10	10	10	10	81	71	87	85	100	97	87	87	139
