Henrietta	Andersen	8	10	9	10	10	9	7	9	6	10	65	80	89	24	73	95	59	78	115
Arron	Banks	8	7	5	8	0	0	8	0	0	10	57	98	94	59	49	82	69	77	114
Luis	Barber	8	0	9	10	10	10	9	8	6	10	58	91	94	79	95	100	77	75	132
Lyle	Barnett	0	6	4	10	9	10	9	8	6	10	95	74	92	90	71	75	65	99	108
Aletha	Beasley	7	9	8	9	10	10	0	10	0	10	78	63	75	95	60	95	81	80	128
Maxwell	Beck	9	10	10	10	10	10	10	8	9	10	72	66	90	95	60	56	78	86	111
Golden	Bell	6	1	8	7	10	8	8	4	8	10	80	97	80	77	97	25	62	91	88
Elise	Bradford	8	5	9	9	10	10	10	7	6	10	61	66	88	100	90	100	82	92	127
Bonnie	Bryant	7	9	0	9	10	10	10	7	6	10	86	62	96	59	28	57	59	77	116
Nathanial	Callahan	9	10	10	10	10	10	10	8	9	10	99	86	99	100	98	100	82	88	119
Jenelle	Cantu	8	8	10	10	10	10	9	9	8	10	57	56	82	91	87	97	83	90	132
Kayleigh	Chavez	9	0	9	10	10	10	9	10	9	10	61	63	86	93	98	100	93	100	142
Cecilia	Conrad	7	4	8	9	2	9	10	8	10	10	87	97	89	93	98	50	93	92	145
Alona	Duncan	7	5	7	0	10	9	8	8	8	10	75	76	100	83	82	95	39	88	98
Aida	Durham	8	9	10	10	7	10	9	10	10	10	100	70	97	93	90	50	69	97	135
Mitchel	Ellison	10	10	8	10	10	10	9	10	9	10	80	67	98	100	100	100	95	76	141
Ara	Ferguson	9	9	9	10	10	10	10	9	7	10	84	97	91	99	95	87	83	85	136
Nelson	Ferrell	9	2	9	10	8	10	8	6	8	10	79	69	83	35	68	50	77	87	125
Isabell	Fleming	8	8	10	10	10	10	9	8	5	10	73	67	89	99	87	91	84	89	125
Lucille	Franklin	8	7	9	9	10	8	8	6	2	10	93	98	93	72	87	62	49	77	81
Nelida	Frost	10	9	10	0	10	10	8	0	10	10	79	65	98	92	87	100	95	86	145
Ehtel	Greene	9	4	8	5	10	10	6	10	9	10	67	73	77	91	79	72	73	87	129
Maxima	Haley	9	10	8	10	10	10	5	7	5	10	84	63	98	70	53	65	77	78	105
Hiram	Harding	0	10	10	0	9	10	10	10	8	10	81	75	84	92	92	93	68	84	127
Harmony	Herrera	6	9	8	0	10	10	9	10	10	10	59	100	78	82	85	93	94	100	124
Devora	Hickman	9	5	9	0	10	9	4	8	6	10	62	86	94	90	92	100	76	91	132
Katelynn	Hill	9	3	10	0	10	10	10	10	8	10	76	98	97	92	78	89	67	97	135
Chanel	Hubbard	7	5	8	10	10	10	10	10	8	10	59	100	81	50	89	50	61	98	107
Clifton	Jimenez	10	0	10	10	10	10	0	0	0	10	98	60	86	85	95	89	61	91	128
Anjelica	Johnston	8	10	10	10	10	10	9	10	10	10	77	84	92	95	90	100	73	93	128
Luciano	Kline	8	10	10	10	10	10	8	10	0	10	58	90	81	93	100	78	82	80	126
Robbi	Mack	7	7	9	2	9	10	8	10	0	10	90	74	100	78	82	85	93	94	89
Doris	Maddox	9	10	10	10	10	0	10	10	8	10	59	68	90	92	0	92	81	82	126
Colton	Mccarty	9	8	9	10	10	10	7	0	7	10	61	75	87	88	90	100	76	97	122
Galen	Mcconnell	8	10	9	10	10	10	10	0	8	10	92	76	77	95	100	100	86	86	136
Alpha	Mcdowell	9	9	10	10	9	10	10	9	10	10	68	85	95	89	99	90	72	83	127
