Arron	Banks	100	100	90	70	100	100	100	100	95	100
Darryl	Bartlett	100	100	95	100	100	93	100	100	98	100
Maxwell	Beck	100	100	90	90	100	100	100	100	99	100
Bonnie	Bryant	100	100	100	70	100	93	100	100	96	100
Tyler	Goodwin	100	100	40	100	100	100	0	0	78	100
Caterina	Griffith	100	100	95	70	75	100	0	100	87	100
Nubia	Hale	100	100	100	60	100	93	100	100	96	100
Lino	Hansen	100	100	90	100	100	93	100	100	96	100
Hiram	Harding	100	100	95	70	75	100	0	100	87	100
Phoebe	Harrington	90	100	95	90	80	93	100	100	87	100
Darby	Huffman	100	100	75	90	100	70	55	100	91	100
Irmgard	Kent	100	100	85	85	100	70	100	100	94	100
Delsie	Kramer	90	100	75	65	100	100	90	100	82	100
Siu	Lawrence	100	100	100	70	100	93	100	100	97	100
Clyde	Lopez	100	100	90	70	100	100	100	100	95	100
Derrick	Mckee	100	100	40	60	100	93	100	100	92	100
Alycia	Molina	95	100	80	65	100	100	100	100	95	100
Fidelia	Moore	100	100	80	100	85	100	95	100	95	100
Verna	Navarro	100	100	90	90	100	100	100	100	99	100
Tesha	Nielsen	90	100	90	55	100	100	100	100	93	100
Markita	Rose	100	100	85	100	100	100	100	100	97	100
Stacia	Schneider	100	100	80	90	100	100	100	100	94	100
Miguel	Sharp	100	100	75	50	100	100	90	100	92	100
Van	Sheppard	100	100	90	100	100	93	100	100	96	100
Andrew	Tate	100	100	90	70	100	100	100	100	95	100
Katie	Tran	90	100	95	90	80	93	100	100	87	100
Corliss	Velazquez	100	100	75	90	100	70	55	100	91	100
