Daisy	Berger	100	100	100	70	100	93	100	100	96	100
Nathanial	Callahan	100	100	40	100	100	100	0	0	78	100
Jenelle	Cantu	100	100	100	70	100	93	100	100	97	100
Alona	Duncan	100	100	90	70	100	100	100	100	95	100
Gordon	Estes	100	100	40	60	100	93	100	100	92	100
Isabell	Fleming	95	100	80	65	100	100	100	100	95	100
Dovie	Gamble	100	100	80	100	85	100	95	100	95	100
Odilia	Garrison	100	100	90	90	100	100	100	100	99	100
Mable	Gray	90	100	90	55	100	100	100	100	93	100
Suzan	Griffin	100	100	85	100	100	100	100	100	97	100
Harmony	Herrera	100	100	80	90	100	100	100	100	94	100
Madison	Hopkins	100	100	75	50	100	100	90	100	92	100
Nieves	Huang	100	100	90	100	100	93	100	100	96	100
Hipolito	Huynh	100	100	90	70	100	100	100	100	95	100
Colton	Mccarty	90	100	95	90	80	93	100	100	87	100
Alpha	Mcdowell	100	100	75	90	100	70	55	100	91	100
Suzette	Mercer	100	100	90	70	100	100	100	100	95	100
Willian	Meyers	100	100	95	100	100	93	100	100	98	100
Myron	Morris	100	100	90	90	100	100	100	100	99	100
Pearlene	Palmer	100	100	100	70	100	93	100	100	96	100
Fidelia	Perez	100	100	40	100	100	100	0	0	78	100
Shona	Roberson	100	100	95	70	75	100	0	100	87	100
Zola	Sanders	100	100	100	60	100	93	100	100	96	100
Lorie	Soto	100	100	90	100	100	93	100	100	96	100
Gerardo	Suarez	100	100	95	70	75	100	0	100	87	100
Karly	Swanson	90	100	95	90	80	93	100	100	87	100
Margot	Villarreal	100	100	75	90	100	70	55	100	91	100
Matthew	Wise	100	100	85	85	100	70	100	100	94	100
Dalene	Yoder	90	100	75	65	100	100	90	100	82	100
