Jill	Avila	8	10	9	10	10	9	7	9	6	10	65	80	89	24	59	78	73	95	92
Ellis	Baldwin	8	7	5	8	0	0	8	0	0	10	57	98	94	59	69	77	49	82	114
Burl	Barron	6	9	8	0	10	10	0	0	0	10	59	100	78	82	94	100	85	93	124
Darryl	Bartlett	9	5	9	0	10	9	4	8	6	10	62	86	94	90	76	91	92	100	132
Daisy	Berger	9	3	10	0	10	10	10	10	8	10	76	98	97	92	67	97	78	89	135
Quyen	Blankenship	7	5	8	10	10	10	10	10	8	10	59	100	81	50	61	98	89	50	107
Elsy	Bright	10	0	10	10	10	10	0	0	0	10	98	60	86	85	61	91	95	89	128
Marilou	Cameron	8	10	10	10	10	10	9	10	10	10	77	84	92	95	73	93	90	100	128
Cleora	Carrillo	8	10	10	10	10	10	8	10	0	10	58	90	81	93	82	80	100	78	126
Tim	Chance	7	7	9	2	9	10	8	10	0	10	90	74	100	78	93	94	82	85	89
Anamaria	Costa	9	10	10	10	10	0	10	10	8	10	59	68	90	92	81	82	15	92	126
Gordon	Estes	9	8	9	10	10	10	7	0	7	10	61	75	87	88	76	97	90	100	122
Rosalva	Fisher	8	10	9	10	10	10	10	0	8	10	92	76	77	95	86	86	100	100	136
Avis	Floyd	9	9	10	10	9	10	10	9	10	10	68	85	95	89	72	83	99	90	127
Dovie	Gamble	9	7	10	0	10	10	9	2	5	10	87	65	85	95	83	82	87	93	95
Odilia	Garrison	8	9	9	10	10	9	9	0	8	10	93	90	77	84	79	83	97	85	130
Tyler	Goodwin	9	10	10	10	10	10	10	10	9	10	100	78	82	85	90	93	93	94	142
Mable	Gray	10	9	9	9	9	10	8	0	0	10	55	57	98	92	93	76	93	75	132
Suzan	Griffin	9	9	9	10	10	10	4	9	8	10	93	67	94	0	79	97	35	60	126
Nubia	Hale	8	9	9	0	10	10	7	10	8	10	64	62	95	96	73	93	92	98	128
Lino	Hansen	9	8	9	9	10	10	9	10	9	10	95	62	81	94	83	100	88	95	135
Tawanda	Ho	9	2	9	10	8	10	9	10	9	10	58	96	88	67	83	76	88	95	150
Madison	Hopkins	9	0	9	10	10	10	0	0	0	10	83	68	76	100	70	88	87	100	116
Rigoberto	Howell	8	9	9	8	10	9	10	10	7	10	90	88	76	87	83	92	83	98	142
Tess	Ingram	8	10	10	10	10	10	10	9	9	10	73	66	81	91	81	96	89	99	145
Clyde	Lopez	7	6	0	10	10	9	8	10	10	10	67	84	80	89	93	83	93	98	126
Leanne	Mason	10	9	10	10	10	10	10	10	7	10	83	73	89	93	69	96	88	95	122
Tandy	Mcneil	6	0	0	10	9	10	10	8	8	10	68	81	75	89	70	87	99	100	136
Jolyn	Pollard	9	0	10	10	0	9	9	10	9	10	61	75	92	0	83	98	87	100	136
Reid	Reynolds	10	5	8	0	10	9	9	10	8	10	81	77	84	95	78	78	82	100	131
Rosy	Rich	10	0	9	10	10	10	9	8	7	10	62	94	90	93	81	92	88	95	127
Lavette	Simpson	6	7	10	9	10	9	8	8	8	10	55	84	85	99	66	75	92	95	90
Gerardo	Suarez	7	7	9	9	10	8	10	10	7	10	98	60	98	83	79	92	70	80	131
Matt	Terrell	7	8	10	10	10	10	6	10	10	10	60	69	81	94	58	100	94	98	126
Katie	Tran	8	10	9	10	10	9	9	8	10	10	68	62	76	90	82	82	94	95	130
Mohammed	Welch	9	5	9	9	10	9	3	9	7	10	76	76	77	77	53	90	67	25	113
